queue_id,corpus_row,legal_name,purpose,predicted_sector,predicted_sector_name,top3,margin,stratum,true_sector,keywords_ground_truth,annotator_note
60,5100,DTZ Die Technikerzentrale UG (haftungsbeschränkt),"Die Errichtung und der Verkauf von Klimatechnik, Kältetechnik, Lüftungstechnik, Sanitäranlagen, Heizungsbau und sämtliche damit verbundenen Reparaturen und Instandhaltung.",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|C|E,0.0027,low_margin,,,
61,6754,Ecolog AG,"die Vermietung und Verkauf von sanitären Anlagen, der Ex- und Import sowie die Bevorratung von Waren aller Art und die Durchführung und Entwicklung von Entsorgungssystemen. Tätigkeiten, für die eine behörliche Erlaubnis oder Genehmigung erforderlich sind, sind jedoch nicht Unternehmensgegenstand.",E,"Water Supply, Sewerage, Waste Management",E|C|N,0.0928,representative,,,
62,1323,Aqua-met GmbH,"sind Edelstahl-Auskleidungen von Trinkwasserbehältern, Tanktassen, Schwimmbecken, Rohrleitungen sowie alle damit verbundenen Tätigkeiten.",E,"Water Supply, Sewerage, Waste Management",E|C|H,0.0671,representative,,,
63,6006,NOVUS Dienstleistungen GmbH,"Gebäude- und Industriereinigung, Bautentrocknung und Gerätevermietung sowie alle damit in Zusammenhang stehenden Dienstleistungen.",E,"Water Supply, Sewerage, Waste Management",E|N|S,0.0588,representative,,,
64,2301,WRE-Reinigungstechnik GmbH,"Gegenstand des Unternehmens ist der Vertrieb von Reinigungssysteme, Pumpenaggregate, kundenspezifischer Anlagen samt Zubehör und Ersatzteilen aller Art",E,"Water Supply, Sewerage, Waste Management",E|C|G,0.0212,representative,,,
65,2012,AMK Rohstoffe UG (haftungsbeschränkt),"Handel, Vertrieb und Recyclen von Styropor",E,"Water Supply, Sewerage, Waste Management",E|C|H,0.0211,low_margin,,,
66,5655,PHÖNIX Ingenieur- und Unternehmergesellschaft UG (haftungsbeschränkt),"Gegenstand des Unternehmes ist: - Facility Management auf den Gebieten der Gebäude- und Versorgungstechnik, der Forst- und Jagdwirtschaft sowie der Wasserund Umwelttechnik; - Erbringen von Ingenieurleistungen auf dem Gebiet der Versorgungstechnik; - Gutachtertätigkeit auf dem Gebiet der Heizungs-, Lüftungs- und Klimatechnik",E,"Water Supply, Sewerage, Waste Management",E|N|S,0.0191,low_margin,,,
67,7184,A + M Abwasser GmbH,"Gegenstand des Unternehmens und Zweck der Gesellschaft ist die Beratung, Planung, Bau, Betrieb und Service von Abwasserbehandlung und -anlagen.",E,"Water Supply, Sewerage, Waste Management",E|N|S,0.0063,low_margin,,,
68,2190,Karma GmbH,Erbringung von Regalauffülldienstleistungen und Gebäudereinigung,E,"Water Supply, Sewerage, Waste Management",E|S|N,0.0045,low_margin,,,
69,7731,Monotec Bau GmbH,"Die Ausführung von Bauarbeiten und Innenausbauarbeiten im Rahmen des Maurer- und Betonbauer-Handwerks sowie Putzarbeiten, Trockenbauarbeiten und Abrissarbeiten.",F,Construction,F|B|C,0.1389,representative,,,
70,2134,BAT Generalunternehmen GmbH,"die Planung und Bauleitung, Vermittlung handwerklicher Leistungen von Aufträgen im Bereich Bautenschutz, Abdichtung und Sanierung von feuchten Kellern und Balkonen, Brandschadenentsorgung und - sanierung sowie der Handel mit Baustoffen",F,Construction,F|L|B,0.0932,representative,,,
71,8696,Planungsbüro Gregor Stegmann GmbH,Betrieb eines Planungsbüros für das Bauwesen,F,Construction,F|L|N,0.0541,representative,,,
72,9423,planbau.Group GmbH,Bau und Vertrieb von schlüsselfertigen Wohngebäuden einschließlich Außenanlagen; Sanierung und Renovierung von Altbauten; Vertrieb von Bauelementen jeder Art; Handel mit Baustoffen.,F,Construction,F|L|C,0.0508,representative,,,
73,5662,MELBAU GmbH Bauausführungen,"Bauausführungen, Ausbau und Modernisierung im Rahmen des Maurer-, Beton- und Stahlbetonbauerhandwerks, Handel mit Baustoffen und Fliesen. Export und Import von Baustoffen.",F,Construction,F|B|C,0.0322,representative,,,
74,9804,Wegen fehlerhafter EDV-Erfassung von Amts wegen berichtigend eingetragen Slezak GmbH,die Durchführung von Hoch- und Tiefbauarbeiten aller Art.,F,Construction,F|B|S,0.0216,representative,,,
75,206,EZM Technik UG (haftungsbeschränkt),"Gegenstand des Unternehmens ist Elektrotechnik, Zimmerei - Holzbau, Trockenbau, Maurerhandwerk, Betonbau, Hausmeistertätigkeiten sowie Garten- und Landschaftsbau.",F,Construction,F|L|C,0.0156,low_margin,,,
76,5917,RGM Reichelt Gerüst-Montage GmbH,Gerüstbauarbeiten aller Art.,F,Construction,F|B|C,0.0107,low_margin,,,
77,4142,Glas - Holzbau - Metall Hundt GmbH,"Planung und Errichtung von Häusern, Wintergärten, Garagen, Überdachungen sowie ähnlichen Gebäuden und Anbauten.",F,Construction,F|L|I,0.0095,low_margin,,,
78,7724,Ecker Trockenausbau GmbH,"Die Durchführung von Trockenausbauarbeiten, Deckensystemen, Einbau von genormten Baufertigteilen und Industrieböden..",F,Construction,F|C|E,0.0090,low_margin,,,
79,203,Malerfachbetrieb Andex GmbH,"Durchführung von Maler- und Lackierarbeiten, Bodenverlegung von Fliesen, Platten, Parkett und Laminat, Trockenbau, Abbrucharbeiten und Hausmeisterservice",F,Construction,F|C|L,0.0083,low_margin,,,
80,9261,VOLPP MALER-BETRIEB GmbH,"Durchführung von Maler-, Tapezier- und Anstreicharbeiten aller Art",F,Construction,F|R|C,0.0021,low_margin,,,
81,387,Schreiber GmbH,"Handel, vornehmlich Online-Handel, insbesondere mit Food- und Non-Food- Produkten.",G,Wholesale and Retail Trade,G|I|J,0.1962,representative,,,
82,855,Neumann Beteiligungsgesellschaft mbH,"der Handel mit Waren aller Art, insbesondere mit Kaffee in allen Erscheinungsformen von der Erzeugung bis zum Verbrauch, ferner auch die Beteiligung an anderen Unternehmen.",G,Wholesale and Retail Trade,G|C|I,0.1449,representative,,,
83,9299,VISION FACTORY VERANSTALTUNGS- DESIGN GmbH,"Ist der Betrieb eines Marketingunternehmens, Vertrieb sowie Vorbereitung und Durchführung von Versanstaltungen einschließlich der mittelbaren Bewirtung, sowie Dekorationen, Großdekorationen und andere angeschlossene Bereiche. Die Gesellschaft ist ferner berechtigt Unternehmensverträge, insbesondere Gewinnabführungs- und Beherrschungsverträge abzuschließen.",G,Wholesale and Retail Trade,G|N|C,0.0883,representative,,,
84,8080,CarUnion AutoTag GmbH,"Der Handel mit Fahrzeugen aller Art und branchenverwandter Artikel, einschließlich deren Vermietung sowie Reparaturen an Kraftfahrzeugen und damit verbundenen Dienstleistungen.",G,Wholesale and Retail Trade,G|H|C,0.0867,representative,,,
85,4285,Droege GmbH,"Handel mit Kraftfahrzeugen aller Art, Fahrzeugzubehör und Ersatzteilen sowie der Betrieb einer Reparaturwerkstatt für Fahrzeuge aller Art, ferner der Vertrieb, die Wartung und die Reparatur von Elekrogeräten. Sie übernimmt auch Geschäftsführertätigkeiten bei GmbH & Co. KG. Sie darf alle hiermit zusammenhängenden Geschäfte betreiben.",G,Wholesale and Retail Trade,G|C|H,0.0723,representative,,,
